,_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,EKITALDIA/EJERCICIO,SAILA/DEPARTAMENTO,SAILAREN DESKRIBAPENA_EU/DESCRIPCION DEPARTAMENTO_EU,SAILAREN DESKRIBAPENA_EU/DESCRIPCION DEPARTAMENTO_CAS,ZENTRU KUDEATZAILEA/CENTRO GESTOR,ZENTRO KUDEATZAILEAREN DESKR._EUS/DESCR. CENTRO GESTOR_EUS,ZENTRO KUDEATZAILEAREN DESKR._CAS/DESCR. CENTRO GESTOR_CAS,GASTU ARLOA/AREA DE GASTO,GASTU ARLOAREN DESKRIBAPENA_EUS/DESCRIPCION AREA DE GASTO_EUS,GASTU ARLOAREN DESKRIBAPENA_CAS/DESCRIPCION AREA DE GASTO_CAS,GASTU POLITIKA/POLITICA DE GASTO,GASTU POLITIKAREN DESKR.EUS/DESCR. POLITICA DE GASTO_EUS,GASTU POLITIKAREN DESKR._CAS/DESCR. POLITICA DE GASTO_CAS,TALDEA/GRUPO,TALDEAREN DESKRIBAPENA_EUS/DESCRIPCION GRUPO_EUS,TALDEAREN DESKRIBAPENA_CAS/DESCRIPCION GRUPO_CAS,PROGRAMA/PROGRAMA,PROGRAMAREN DESKRIBAPENA_EUS/DESCRIPCION PROGRAMA_EUS,PROGRAMAREN DESKRIBAPENA_CAS/DESCRIPCION PROGRAMA_CAS,KAPITULUA/CAPITULO,KAPITULUAREN DESKRIBAPENA_EUS/DESCRIPCION CAPITULO_EUS,KAPITULUAREN DESKRIBAPENA_CAS/DESCRIPCION CAPITULO_CAS,ARTIKULUA/ARTICULO,ARTIKULUAREN DESKRIBAPENA_EUS/DESCRIPCION ARTICULO_EUS,ARTIKULUAREN DESKRIBAPENA_CAS/DESCRIPCION ARTICULO_CAS,KONTZEPTUA/CONCEPTO,KONTZEPTUAREN DESKRIBAPENA_EUS/DESCRIPCION CONCEPTO_EUS,KONTZEPTUAREN DESKRIBAPENA_CAS/DESCRIPCION CONCEPTO_CAS,AZPIKONTZEPTUA/SUBCONCEPTO,AZPIKONTZEPTUAREN DESKRIBAPENA_EUS/DESCRIPCION SUBCONCEPTO_EUS,AZPIKONTZEPTUAREN DESKRIBAPENA_CAS/DESCRIPCION SUBCONCEPTO_CAS,PROIEKTUA/PROYECTO,PROIEKTUAREN DESKRIBAPENA/DESCRIPCION PROYECTO,HASIERAKO KREDITUA/CREDITO INICIAL 2023
1064,1065,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",227,KANPOKO ENPRESEK EGINDAKO LANAK,TRABAJOS REALIZADOS POR OTRAS EMPRESAS EXTERNAS,22754,PRESTAKUNTZA ETA IKASKETA ZERBITZUAK,SERVICIOS DE FORMACION Y APRENDIZAJE,2006/00101,Lankidetzaz sentsibilizatzeko programa: ekintza propioak eta aholkularitza/ Programa de sensibilización a la cooperación: acciones propias y asesoría,"1.380,00"
1065,1066,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",227,KANPOKO ENPRESEK EGINDAKO LANAK,TRABAJOS REALIZADOS POR OTRAS EMPRESAS EXTERNAS,22756,KULTUREN ARTEKO KUDEAKETA ZERBITZUAK,SERVICIOS GESTIÓN INTERCULTURAL,2006/00101,Lankidetzaz sentsibilizatzeko programa: ekintza propioak eta aholkularitza/ Programa de sensibilización a la cooperación: acciones propias y asesoría,"1.380,00"
1066,1067,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",227,KANPOKO ENPRESEK EGINDAKO LANAK,TRABAJOS REALIZADOS POR OTRAS EMPRESAS EXTERNAS,22756,KULTUREN ARTEKO KUDEAKETA ZERBITZUAK,SERVICIOS GESTIÓN INTERCULTURAL,2014/00032,Bidezko merkataritzaren eta erosketa publiko etikoaren aldeko hirien sarea/ Red de Ciudades por el Comercio Justo y compra pública ética,"1.840,00"
1067,1068,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",227,KANPOKO ENPRESEK EGINDAKO LANAK,TRABAJOS REALIZADOS POR OTRAS EMPRESAS EXTERNAS,22799,KANPOKO ENPRESEK EGINDAKO BESTELAKO LANAK,OTROS TRABAJOS REALIZADOS POR EMPRESAS EXTERNAS,2006/00101,Lankidetzaz sentsibilizatzeko programa: ekintza propioak eta aholkularitza/ Programa de sensibilización a la cooperación: acciones propias y asesoría,"920,00"
1068,1069,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALA, HORNIDURAK ETA BESTELAKOAK","MATERIAL, SUMINISTROS Y OTROS",227,KANPOKO ENPRESEK EGINDAKO LANAK,TRABAJOS REALIZADOS POR OTRAS EMPRESAS EXTERNAS,22799,KANPOKO ENPRESEK EGINDAKO BESTELAKO LANAK,OTROS TRABAJOS REALIZADOS POR EMPRESAS EXTERNAS,2014/00032,Bidezko merkataritzaren eta erosketa publiko etikoaren aldeko hirien sarea/ Red de Ciudades por el Comercio Justo y compra pública ética,"1.840,00"
1069,1070,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,2,ONDASUN ARRUNT ETA ZERBITZUENGATIKO GASTUAK,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23,ZERBITZUAGATIKO KALTE ORDAINAK,INDEMNIZACIONES POR RAZON DEL SERVICIO,230,"BIDAI SARIAK, PERTSONALAREN GARRAIOA ETA LOKOMOZIOA","DIETAS, LOCOMOCION Y TRASLADO DEL PERSONAL",23001,"BIDAI SARIAK, PERTSONALAREN GARRAIOA ETA LOKOMOZIOA","DIETAS, LOCOMOCION Y TRASLADO DEL PERSONAL",2006/00101,Lankidetzaz sentsibilizatzeko programa: ekintza propioak eta aholkularitza/ Programa de sensibilización a la cooperación: acciones propias y asesoría,"3.680,00"
1070,1071,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,41,EUSKAL AUTONOMIA ERKIDEGOARENTZAKO TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES A LA COMUNIDAD AUTONOMA,411,EAEREN ERAKUNDE AUTONOMIADUNENTZAKO TRANSFERENTZIA A,TRANSFERENCIAS CORRIENTES A LOS ORGANISMOS AUTONOM,41101,EUSKAL HERRIKO UNIBERTSITATEARENTZAKO TRANSFERENTZIA,TRANSFERENCIAS CORRIENTES A LA UNIVERSIDAD DEL PAI,2023/00190,EHUri laguntzea ikasle atzerritarrentzako edo asilo-eskatzaileentzako beka-programarako/ Apoyo a la EHU/UPV para programa de Becas a estudiantes extranjeros o demandantes asilo,"14.000,00"
1071,1072,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2015/00171,"Garapenerako sentsibilizazioaren eta hezkuntzaren arloko urte askotako diru-laguntzetarako deialdia./ Convocatoria de subvenciones en Sensibilización y Educación para el Desarrollo, bienales","80.000,00"
1072,1073,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2016/00297,Nazioarteko lankidetzako bi urteko proiektuetarako diru-laguntzetarako deialdia (gastu arrunta)/ Convocatoria de subvenciones para proyectos de cooperación internacional bienales  (gasto corriente),"363.400,00"
1073,1074,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00121,Oporrak Bakean 2023 programa- Saharako adingabeen harrera/ Programa Vacaciones en Paz 2023 de acogimiento a menores saharauis,"5.000,00"
1074,1075,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00186,Ekialdeko Europako adingabeen udako aldi baterako harrerari laguntzeko programa/ Programa de Acogimiento Temporal Estival a Menores de Europa del Este,"2.000,00"
1075,1076,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00187,Laguntza Gentes del Mundo Federazioari Gentes del Mundo 2023 jaialdirako/ Aoyo a la Federación Gentes del Mundo para Festival Gentes del Mundo 2023,"6.000,00"
1076,1077,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00188,Laguntza Euskadiko GGKEen koordinakundeari/ Apoyo a la Coordinadora de ONGD de Euskadi,"25.000,00"
1077,1078,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00189,Laguntza ISF-Ingenieria Sin Fronteras-i/ Apoyo a ISF-Ingeniería Sin Fronteras,"7.000,00"
1078,1079,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00191,Laguntza KCD ONGDi sentsibilizazio programetarako/ Apoyo a KCD ONGD para programas de Sensibilización,"19.000,00"
1079,1080,UDAL,UDAL,2023,320,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",3200,"LANKIDETZA, BIZIKIDETZA ETA JAIAK","COOPERACIÓN, CONVIVENCIA Y FIESTAS",2,BABES ETA SUSTAPEN SOZIALEKO JARDUKETAK,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,23,GIZARTE-ZERBITZUAK ETA GIZARTE-SUSTAPENA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,231,LEHEN MAILAKO GIZARTE-LAGUNTZA,ASISTENCIA SOCIAL PRIMARIA,2319,NAZIOARTEKO GARAPENERAKO LANKIDETZARAKO LAGUNTZAK,AYUDAS A LA COOPERACIÓN DESARROLLO INTERNACIONAL,4,TRANSFERENTZIA ARRUNTAK,TRANSFERENCIAS CORRIENTES,48,TRANSFERENTZIA ARRUNTAK FAMILIEI ETA IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A FAMILIAS E INSTITUCION,481,TRANSFERENTZIA ARRUNTAK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,TRANSFERENCIAS CORRIENTES A INSTITUCIONES SIN FINE,48199,BESTE TRANSFERENTZIA ARRUNT BATZUK IRABAZI ASMORIK GABEKO ERAKUNDEETARA,OTRAS TRANSFERENCIAS CORRIENTES A INSTITUCIONES SI,2023/00216,Laguntza humanitarioak eta nazioarteko larrialdikoak/ Ayudas Humanitarias y de Emergencia Internacional,"155.000,00"
